group,n_points,mean_abs_dist,rms_dist,p95_dist,max_abs_dist
crack,21,0.004497370050398379,0.007827508783422187,0.012232132327729257,0.02713701889634582
left_noncrack,144,0.005281782356711253,0.006413225154590181,0.010145104566650272,0.02576351876234194
right_noncrack,159,0.004837210186379025,0.006186394131392319,0.011323947879347951,0.020838837981447755
noncrack_all,303,0.005061172521215278,0.00631106015918855,0.011272135951829796,0.025151230335017122
