POINT3D_ID,X,Y,Z
78,2.572372727146857,-0.02072504690014262,1.602045260236635
97,3.2952414675698742,-0.049499457014845205,1.572351658156329
98,3.3116918433406033,-0.058469665846176425,1.5771570562028194
105,2.564853894663504,0.007346643079737602,1.5902407659348294
106,2.564853894663504,0.007346643079737602,1.5902407659348294
120,3.3062109858171507,0.02159658230244242,1.5438147698329185
130,2.702708263533924,0.05197646094816029,1.563557168557551
202,3.465798471143891,0.18061079379867503,1.4662204847158986
212,2.6354422600176775,0.2223995568695833,1.4940792865871229
280,3.3182967377475086,0.2950087639522394,1.4256210683542814
281,3.318259053342213,0.2950676877753145,1.4256319137040123
282,3.418242954471932,0.33035408017447354,1.4072802749341393
304,3.3072018039002846,0.33835272367831953,1.4083504537509761
313,2.7532196405784775,0.39244659957539924,1.4151368277938567
353,2.795820006942716,0.49192569212527903,1.3718674923174494
384,3.296264922711866,0.5304595802265186,1.3252483737732648
398,3.2822927041690093,0.5695543166651875,1.3124947435541197
421,3.4219102363097527,0.6082778032692931,1.2893104822873753
422,3.4194544624630425,0.6164941382222343,1.2844575714999442
430,3.3136619081827554,0.6654216400704016,1.2673836843360724
433,3.320848115420099,0.6613756211436218,1.26903799450828
479,3.43355474543768,0.7610151603539712,1.2212577937979592
495,3.418284880261966,0.8205005524248882,1.1954795868219603
609,2.5900221279913644,-0.3079939814696448,1.7155227451435073
667,3.4139594602818275,-0.07268182763251402,1.576636617528843
690,2.583181777652756,-0.006121285688844857,1.5962124168721723
702,3.4083957949189405,0.015492388216476893,1.5368132257125169
705,2.679574489723642,0.08864709777331009,1.547453279252081
717,3.411593740395584,0.053123623278913096,1.5236584374150999
727,3.354667024546857,0.1340615969565851,1.4956657747834115
741,3.3445001514672983,0.18659101618923193,1.4720779779168716
744,2.612394146191727,0.19492299072251762,1.5057960993953863
764,3.2882548838794294,0.28640021024139983,1.4327436609193738
786,2.746785351721583,0.3674238953883912,1.424555144622306
795,3.40790946238095,0.3579697322917321,1.3944120234733328
796,3.407820084362947,0.3580789357543396,1.3945757389790854
807,3.28293108534316,0.4167770846577114,1.375656752534489
816,3.289862934695109,0.44485919578335287,1.362048756626038
818,3.2930649622323607,0.45982590881891944,1.3573987282958189
825,2.7190676188431393,0.506424820950593,1.370229591099485
834,3.418692585743271,0.4933489589036134,1.336802202593372
835,3.418692585743271,0.4933489589036134,1.336802202593372
895,3.2952913161642763,0.6617322301908571,1.270162670690726
899,3.4342146944521015,0.6692517148711715,1.261409830246546
909,3.3138691673695257,0.7092244677774784,1.250709047580621
910,3.3142768098573607,0.7093127845857506,1.25097409695415
926,3.286836345861174,0.7234872176984591,1.2468152085485602
929,3.31084614913138,0.7398336621625579,1.235814942036566
933,3.402265429786243,0.7381048928746529,1.2333584387032748
934,3.4029902026759524,0.74753006597327,1.227950535212138
941,3.4312432664933246,0.7717048780201722,1.2142299565251076
956,3.3291353508792727,0.7968567475116562,1.2097736383183633
977,3.292522901295063,0.8632186078642986,1.1850179505545002
978,3.292885644465903,0.8629840956088144,1.1850346894620452
989,3.3336453092887295,0.8760885275434863,1.176539576900044
990,3.329351078474336,0.8982675758664107,1.1687272928370975
1020,3.301965369751277,0.9471543205998008,1.1500712651278178
1053,3.3067264517941672,1.0150977959151226,1.1208662117012929
1054,3.3025425552121774,1.0230528999547883,1.1186042211527836
1095,3.3251677050130684,1.123224750995064,1.074666261921944
1096,3.3251677050130684,1.123224750995064,1.074666261921944
1144,2.6412718559001767,-0.13504148185359824,1.6471720680740842
1145,2.657063942939431,-0.1463175374670958,1.651008405367087
1151,2.5208578090819675,-0.0732964340630463,1.6265343748658339
1154,3.291798681256111,-0.06370748054149242,1.5783758922470206
1162,3.40979853495316,-0.008232760992265557,1.5521623178099258
1173,3.298006752716011,0.015434503078094792,1.5463756633159518
1205,2.6396903471265225,0.2551441197949848,1.4797250157643083
1215,2.7803638971376974,0.3256007953491845,1.440583312838206
1272,3.278032529626964,0.5610799481785244,1.3143040394496595
1312,3.401492323762811,0.802003391959697,1.2044790768636786
1316,3.2903476859742193,0.8361035484004131,1.1965507035704908
1317,3.2903476859742193,0.8361035484004131,1.1965507035704908
1409,3.437638928032532,-0.14655540030096464,1.6055452486554884
1414,2.6597934317321177,-0.06512437528527933,1.6161902593362274
1423,2.7028663619103823,-0.007716998223061749,1.588537337541361
1469,3.436889354973259,0.6335029914706899,1.2756902343607046
1472,3.4321717975105686,0.6567089997109675,1.2665474666810561
1476,3.433380224594626,0.7099041801147022,1.2431998914904818
1496,3.2828855159614765,0.9043274981634897,1.1668209821779802
1527,3.336507784970916,1.1379614002426892,1.0669540020662818
1585,3.2779385359060655,0.5763431656177914,1.3086480077030012
1586,3.277903053063748,0.576176648861643,1.3085573184176418
1666,3.305722767963282,1.1884318632691389,1.0510704535848703
1680,3.297774125004296,0.6012656025393031,1.3003717476098466
1725,2.258578750837769,-0.1611216784047089,1.6642688130121985
1768,2.2806062455624447,-0.04495297004831607,1.625315895283582
1795,2.127962834381167,-0.025201551327630075,1.6249332494239008
1800,2.268053623370537,-0.004769135908150219,1.61111953228276
1831,2.2696913891429205,0.02593605417886533,1.5973740327035404
1832,2.2695600166565337,0.02595532941697966,1.597053705287085
1833,2.2560338369924193,0.033484670912937484,1.5943435933324586
1834,2.265662577690008,0.036122202312284774,1.5918422629467675
1835,2.2659091895173913,0.03589769500147312,1.5921405650260045
1836,2.291649528978426,0.021551217257514497,1.5976501076312661
1837,2.306227039286428,0.024824653671553572,1.5954092349539633
1851,3.3063412478450473,0.021741010252077187,1.5440738621074863
1865,2.1552720088016106,0.07186079180554905,1.5838474284933288
1873,2.2728999710121958,0.08655672239744555,1.572778874144398
1874,2.2784965491411455,0.10370835905401284,1.5663969961989028
1905,2.2955640091151728,0.12799304143314835,1.5561060160893831
1926,2.1327833742601086,0.18044537269027663,1.5374167688053457
1973,2.6354887930846194,0.22265260839042122,1.494405741174203
2031,2.1225592737511283,0.2935721775672321,1.4872658018043103
2032,2.1222502895186977,0.2935708569859705,1.4882408309113977
2033,2.1307214201133453,0.32179670194362064,1.477413870702593
2075,2.092461295282777,0.33380146774943187,1.4742170489302082
2078,2.1106412879020118,0.37434993597150806,1.4546979825674762
2079,2.1106412879020118,0.37434993597150806,1.4546979825674762
2082,2.2644423661886957,0.3557308209366832,1.45495862546608
2083,2.2647616526659333,0.35547664057857664,1.4557424468529152
2122,2.113107085511666,0.3969546385993706,1.445308000543167
2174,2.261731332327076,0.41669010773008425,1.4286437796868585
2175,2.2615896141177525,0.41646384215291926,1.428286500519556
2209,2.101837514445463,0.4707085357300181,1.415172613885685
2210,2.1016632513654603,0.4705084218002709,1.4157161333311932
2211,2.116205920560332,0.4676461219432109,1.4159280689721483
2254,2.116455801761046,0.5020208433284755,1.4020720187808013
2255,2.124650623310177,0.5266393253713721,1.3888632327015067
2256,2.124650623310177,0.5266393253713721,1.3888632327015067
2260,2.2111500919074634,0.5138181313652448,1.3936850031374244
2261,2.230810732658597,0.5044784177295392,1.3921101783199104
2262,2.2480184615872307,0.5175235275671999,1.38875443084835
2300,2.12439106708262,0.5778480536558379,1.3697742037286185
2353,2.247818928138977,0.6142922389584723,1.342566475482368
2354,2.247818928138977,0.6142922389584723,1.342566475482368
2402,2.259659976325957,0.6396796851123707,1.3303520931730366
2403,2.269720135061307,0.6363750072484232,1.333182146801374
2468,2.270105907806826,0.6677349619553575,1.3181101821726702
2470,2.275653779888649,0.6871939691601485,1.3081927967825182
2506,2.1375182757467384,0.7114078249186145,1.3119463227152912
2565,2.13713487042675,0.7605375504022022,1.2906270682052803
2566,2.1281546821061195,0.7663747641987023,1.2872132839197694
2567,2.1572592330485407,0.7767982904911517,1.2807917463446563
2572,2.278024404584208,0.7709045369047857,1.2788047618005087
2627,2.1495768488296987,0.8085696031315559,1.2673154711695822
2632,2.2393942105525713,0.8027561381983472,1.2637012624216704
2687,2.2607654611126495,0.8305470040069477,1.252323215612018
2688,2.260306132800829,0.83107963349599,1.2559331263460332
2691,2.25991108060796,0.8392366716946492,1.2499272981135108
2692,2.265504900271518,0.8442809077190774,1.2481134798749174
2693,2.26589950987865,0.8442715381619936,1.2466486521018088
2752,2.149684873251123,0.8672650091268161,1.2450037960071036
2753,2.1553040960946914,0.8630012411715174,1.2470939890889885
2754,2.156479967458416,0.8962419843991392,1.2305359165129435
2763,2.2890020663766895,0.8712226148784707,1.2330382181651556
2764,2.288494912910878,0.8721343826316857,1.2378113399823631
2823,2.14153038167932,0.919294178764066,1.2219860836907077
2861,3.3240792974753326,0.8789710323591655,1.1773264292840524
2886,2.124051914063725,0.9671540298692486,1.1967764398597585
2888,2.245098398816003,0.9449215841730527,1.2069675718451691
2889,2.2570302850041157,0.9395177788741182,1.2130175018054672
2956,2.113864374237488,1.0072867521541842,1.1821965472583562
2957,2.1361763022557145,0.9726612566182578,1.1964959599256961
2958,2.1361763022557145,0.9726612566182578,1.1964959599256961
2959,2.1297508087735952,0.9788564407128527,1.1921522023144409
2960,2.1297508087735952,0.9788564407128527,1.1921522023144409
2961,2.138549989727513,0.9951121778814603,1.185514218177056
3027,2.138950049330523,1.042868569981923,1.1650275602410691
3028,2.1388356348031636,1.0431197812218265,1.165329791475089
3033,2.249591194157239,1.019206879466002,1.1668843609611084
3034,2.2448999069233126,1.0272996423210907,1.1659867510854744
3035,2.2448999069233126,1.0272996423210907,1.1659867510854744
3089,2.243100064963184,1.0598235067209096,1.151751469280516
3090,2.2427175866459783,1.0602016486118284,1.153435495634406
3159,2.2938960257674887,1.1073310459404087,1.1266317609025922
3160,2.2982194966335654,1.099977179361401,1.130417942543055
3217,2.172396927580525,1.1157461739123469,1.1299459542630423
3218,2.173190722079764,1.1216025449507003,1.1271413451279277
3219,2.184317901895778,1.119120157679933,1.1269968672298987
3225,2.2934493862857046,1.1256189907277667,1.1181712299230517
3226,2.2917820550645294,1.1490545746413836,1.1169837191717402
3274,2.189760197948476,1.151374541896707,1.1153987012716395
3322,2.1839204834104664,1.2029379583143005,1.0974311387162698
3323,2.290348613721672,1.183241971749936,1.096346544009054
3338,2.1841313260208484,1.2463947921356688,1.076714834112975
3375,2.2831944762642187,-0.1576002959319069,1.671109857034946
3395,2.126199280916082,-0.07738929556506895,1.646071381129766
3429,2.1064998033726905,-0.06418927853765115,1.638688837807887
3430,2.2633106232551254,-0.042301544184649556,1.6275819046952358
3432,2.298735283828093,-0.03846109272941295,1.623521465821336
3433,2.299048501839932,-0.03883372275619178,1.6226482106924665
3460,2.1330465482006407,-0.010210313675206115,1.6174235364891985
3489,2.116536580405296,0.05113067843922318,1.5944657797148174
3499,2.684413870804303,0.03462686438731996,1.5742807685896545
3522,2.122840340599395,0.08359175772028643,1.580288204800151
