POINT3D_ID,X,Y,Z,signed_dist_to_plane,abs_dist_to_plane
631,2.5652661891075605,-0.1899451110815412,1.6745694257662345,-0.011439588306501837,0.011439588306501837
632,2.565380132596281,-0.1899206507585435,1.6740328023055198,-0.010959917483098294,0.010959917483098294
651,2.583509648374843,-0.1175465181853475,1.6440648895771102,-0.012232132327729257,0.012232132327729257
10681,0.3659897110899928,0.3318618122700942,1.5553106102975798,-0.010125967705842755,0.010125967705842755
11454,0.2521605567886184,-0.3304124980136233,1.799290211315387,0.02713701889634582,0.02713701889634582
14502,4.281261925796224,0.247423742133263,1.3970549251408215,0.0009575455049450113,0.0009575455049450113
14590,4.290116440193123,0.3230977348306927,1.364304557608029,0.0013628721077042542,0.0013628721077042542
14657,4.275433215822047,0.3820028149025839,1.3402958442461506,0.0012341955017077318,0.0012341955017077318
14658,4.285278317182451,0.3834489796665673,1.3382730202037636,0.002114371339287959,0.002114371339287959
17548,4.280919444670071,0.3588330964499396,1.3489511953565658,0.002022851463925636,0.002022851463925636
19427,4.275483863333392,0.3819386535847994,1.3408213438153398,0.0007731363558563491,0.0007731363558563491
19622,4.341872035462976,0.5889894655826244,1.251300987786909,-9.12621655215035e-07,9.12621655215035e-07
29295,4.247610158075884,0.1095664713323849,1.4532279408451358,0.004180456840129126,0.004180456840129126
30548,4.321336375231425,0.5417914463974149,1.2728154507483542,-0.0006135412118813335,0.0006135412118813335
30959,4.284626070859926,0.2611118861827383,1.3903144887799068,0.00170716557896048,0.00170716557896048
30984,4.348344832817509,0.6574395385119446,1.222383306099874,-0.00021883989620607644,0.00021883989620607644
31090,4.299747070184426,0.4614303134805978,1.3044876715156042,0.0023371011167453125,0.0023371011167453125
31151,4.3058443799334185,0.5199308707394228,1.2803796741209172,0.0015684320660998943,0.0015684320660998943
31260,4.290422847537356,0.3403970833425456,1.3564937203404528,0.0018272387574756435,0.0018272387574756435
33107,-2.0502839771042924,0.2726848646631307,1.681967743416234,-0.0004684109820684091,0.0004684109820684091
34889,-2.197535460331522,-0.2918962184865974,1.9275484765319368,-0.0011630749941995385,0.0011630749941995385
