n,mean,rms,p95,max,std,group
414,0.001830305017807029,0.0030384880981611483,0.0050606590588561816,0.027386289961533927,0.002428299105939467,crack
1106,0.0013449354931207994,0.0021360546374006037,0.003988136297301253,0.02453813456883934,0.001660231950821706,left
1153,0.0016071614827274574,0.0026019401936215477,0.004637408006237881,0.02561233971541309,0.0020471344353785483,right
2259,0.0014310895358185943,0.002303116723917458,0.004128996244613486,0.023111513833012624,0.001804929781013633,noncrack
