POINT3D_ID,X,Y,Z,signed_dist_to_ref_plane,abs_dist_to_ref_plane
78,2.572372727146857,-0.0207250469001426,1.602045260236635,-0.008539530402294932,0.008539530402294932
105,2.564853894663504,0.0073466430797376,1.5902407659348294,-0.008364176508659019,0.008364176508659019
106,2.564853894663504,0.0073466430797376,1.5902407659348294,-0.008364176508659019,0.008364176508659019
212,2.6354422600176775,0.2223995568695833,1.4940792865871229,-0.007081224502243295,0.007081224502243295
690,2.583181777652756,-0.0061212856888448,1.5962124168721723,-0.009343357047552918,0.009343357047552918
744,2.612394146191727,0.1949229907225176,1.5057960993953865,-0.006138719331077223,0.006138719331077223
825,2.7190676188431393,0.506424820950593,1.370229591099485,-0.007886167378838188,0.007886167378838188
1151,2.5208578090819675,-0.0732964340630463,1.626534374865834,-0.008331939429141379,0.008331939429141379
1205,2.6396903471265225,0.2551441197949848,1.4797250157643085,-0.006880105580747135,0.006880105580747135
1973,2.6354887930846194,0.2226526083904212,1.494405741174203,-0.007482311487507503,0.007482311487507503
4547,2.6201863817864535,0.1616041302556112,1.5211712698600215,-0.007553845101179593,0.007553845101179593
4620,2.687544812289651,0.3488891648061973,1.436726090454953,-0.006037431430420147,0.006037431430420147
5290,2.6099842610145716,0.124144058053978,1.5370375185359162,-0.007051585180258108,0.007051585180258108
5983,2.494316838139459,-0.2791010352519673,1.7124512277318142,-0.0056479919366631956,0.0056479919366631956
5984,2.521512798778234,-0.2367466133991784,1.6940218090093095,-0.006416076243703366,0.006416076243703366
5992,2.5199377044296325,-0.1896940967473912,1.6764329137834404,-0.008600281986043191,0.008600281986043191
6220,2.5461758325187276,-0.0107571103131136,1.5998507195051248,-0.009335453629421578,0.009335453629421578
7148,2.577194225867444,0.0127353901817145,1.5871232469633252,-0.008120560631674652,0.008120560631674652
7300,2.5615940951740344,0.085087606991554,1.557932247822426,-0.00896001424132596,0.00896001424132596
8459,2.5959618996644784,0.1237999121180411,1.539329323496667,-0.00844094003322288,0.00844094003322288
10773,0.3640702856997312,0.4803655097335157,1.499511349871662,-0.018666937114068312,0.018666937114068312
11517,0.2286216372314563,-0.2006817517686172,1.771282021832371,0.003725588513013028,0.003725588513013028
11551,0.2260845389825687,-0.1816747137282826,1.7730277595493598,-0.005213984432543203,0.005213984432543203
11572,0.2429344187711823,-0.0965121012049174,1.7302547904922618,6.892844777146185e-05,6.892844777146185e-05
11590,0.2351509962992716,-0.0733513473826544,1.720455364960157,0.0003344541068245721,0.0003344541068245721
11591,0.2379521770967657,-0.0478275047663415,1.7127718854796157,-0.0027099950703824184,0.0027099950703824184
12139,0.2333135256959143,-0.1625921272828905,1.7580876533302374,0.0007497123486116623,0.0007497123486116623
12437,0.186258376032439,-0.2017686665774064,1.784242521645637,-0.006002635298181213,0.006002635298181213
12470,0.2368284282698066,-0.0138837852415901,1.7016328961168514,-0.005710740809882425,0.005710740809882425
12517,0.3598237722994587,0.3940050624496682,1.5358232652194932,-0.018065292911312855,0.018065292911312855
12622,0.2299370264695497,-0.2815051525324603,1.7823317650732122,0.025151230335017122,0.025151230335017122
12664,0.3286347838974412,0.3997217126430401,1.525408482221548,-0.00943306153358753,0.00943306153358753
12941,0.2396764911378607,-0.0702144396618116,1.7088422021243268,0.009594016958344642,0.009594016958344642
12969,0.2660945798600873,0.1873006531830203,1.6210512142141082,-0.011603817591219905,0.011603817591219905
12984,0.2921702153631993,0.2746108940207272,1.5862451210682569,-0.014868613124954938,0.014868613124954938
12985,0.2921702153631993,0.2746108940207272,1.5862451210682569,-0.014868613124954938,0.014868613124954938
12996,0.3437527798699559,0.3750526955133038,1.528239280309274,-0.003006975134718876,0.003006975134718876
13347,0.3337143292449717,0.4322389653710292,1.5107957135578116,-0.008939887131890058,0.008939887131890058
14263,4.197264385003067,-0.045466141801807,1.5208314124127758,0.008279442569195786,0.008279442569195786
14278,2.566585747922588,0.033726427144776,1.5799809008966308,-0.009330868442672094,0.009330868442672094
14415,4.228882996383169,0.1556957658447493,1.4355811716912878,0.006589060513694892,0.006589060513694892
14416,4.228826028896441,0.1556494603352691,1.4351039517883513,0.007048244334413118,0.007048244334413118
14429,2.6256565864278048,0.2495360404350333,1.471739647295084,0.0032389763019778648,0.0032389763019778648
14537,4.2757367141140925,0.2844407664866143,1.3811504685225091,0.0042815687339609575,0.0042815687339609575
14588,4.231267096327301,0.3473954841178159,1.357066044350289,0.0036261124609088453,0.0036261124609088453
14615,2.6965702255875947,0.4352214463871033,1.397326902155556,-0.003988623444796309,0.003988623444796309
14718,4.2617380982463855,0.3989094498567816,1.3326864012260962,0.004606294559195156,0.004606294559195156
14768,4.252926512214863,0.4681965191169078,1.3044997810257897,0.0037612904601215776,0.0037612904601215776
14828,4.25005175673955,0.4919233739806645,1.2938008755765316,0.0044280964709355036,0.0044280964709355036
14830,4.287802689770893,0.5128483336553161,1.283431382967292,0.004200665661860956,0.004200665661860956
14922,4.3146811391781235,0.597352385274063,1.2499242233796,0.0008069167351753288,0.0008069167351753288
15019,4.288042777272842,0.6788753533456138,1.2174721864260756,-0.00016593586584428378,0.00016593586584428378
15080,4.29109211662473,0.6860746388390989,1.2139934157579462,8.712779480333587e-05,8.712779480333587e-05
15083,4.335011697728187,0.6916326405250869,1.208501708413675,0.00113471117997881,0.00113471117997881
15686,2.4396733166496625,-0.3528635951879277,1.745762499290714,-0.005125091561329472,0.005125091561329472
15792,2.588193854829624,-0.0050658609255759,1.5865006024209931,-0.0010370666959369304,0.0010370666959369304
15943,4.2428931491131445,0.1956940570398668,1.420155348127042,0.0045301174904069,0.0045301174904069
16160,4.2669629144289765,0.5240634815330805,1.281553479356221,0.0024028389846085674,0.0024028389846085674
16192,4.295606241484091,0.5767538622109369,1.2583602877709934,0.0019078079774572636,0.0019078079774572636
16322,4.32466403516742,0.759417636900937,1.1832428135136157,-0.0017498306970374074,0.0017498306970374074
16724,2.451019241256991,-0.4578261847773894,1.7876808980283627,-0.0030435086044829905,0.0030435086044829905
16823,4.216530415371273,0.0324605141474167,1.4872885129966569,0.007809572359957235,0.007809572359957235
16832,4.229053982848937,0.0869301665185975,1.4650425878893396,0.006417127044902636,0.006417127044902636
16875,2.64258775995548,0.3153421841447753,1.4548961467375487,-0.007740488751425205,0.007740488751425205
16876,2.64258775995548,0.3153421841447753,1.4548961467375487,-0.007740488751425205,0.007740488751425205
16905,2.665511658409422,0.4052956018849579,1.4086638493520445,-0.0014052882485798724,0.0014052882485798724
16930,4.250210012846857,0.4006560780262856,1.3321587306925236,0.004886705144175715,0.004886705144175715
17094,4.316267860096387,0.8264863737459612,1.155420070831044,-0.002078241069237426,0.002078241069237426
17263,2.4905007336344007,-0.2027654165165737,1.6833303708982574,-0.008600895066701834,0.008600895066701834
17318,4.246013777559944,0.2601296552324167,1.3926632218004118,0.004449930051486592,0.004449930051486592
17533,2.648583703527886,0.2574229655922948,1.4795444612108035,-0.007975736458602225,0.007975736458602225
17552,4.247690554890354,0.4167937587548675,1.3272810008448643,0.0031583016473432425,0.0031583016473432425
17585,4.258515244683295,0.5377452844893225,1.278226072526683,0.0004569704530538103,0.0004569704530538103
17708,4.24958116704758,0.3685747079905997,1.3470700813969958,0.0037634816537268625,0.0037634816537268625
17714,4.272770998325003,0.4490589115136895,1.3123154011162073,0.0032433628181525237,0.0032433628181525237
17742,4.3173024299597635,0.7400763961631659,1.1913153358277562,-0.0012936537186206416,0.0012936537186206416
17800,4.293075344127665,0.7106535740020619,1.205934374256431,-0.002208211677050339,0.002208211677050339
17976,2.673906256063606,0.3545209063771736,1.4337139382724997,-0.004906236902625376,0.004906236902625376
18135,4.196607914771386,-0.0246314469399868,1.511898685870148,0.008362606627360892,0.008362606627360892
18153,4.21968665517134,0.18092805180581,1.4272933810705604,0.004712819655204863,0.004712819655204863
