POINT3D_ID,X,Y,Z,local_roughness
172,3.3923749416433937,0.1183712340705895,1.4988999475775855,0.00067140020192965
385,3.366129802359106,0.5131097899147002,1.3295224520103224,0.0007412153698468559
386,3.361364929102881,0.5349713621788077,1.3201228650004084,0.0007133116419130974
432,3.354309988785368,0.6379362119080441,1.2780453667659308,0.001045419294352584
631,2.5652661891075605,-0.1899451110815412,1.6745694257662345,0.0003144702327974946
632,2.565380132596281,-0.1899206507585435,1.6740328023055198,0.0010193442985263995
651,2.583509648374843,-0.1175465181853475,1.6440648895771102,0.00122528321502287
700,3.3704793118312852,0.0335970534698835,1.5347469427478773,0.0005721992081557064
930,3.3640421571897683,0.7302631175633348,1.2381254327984752,0.0011970943550135946
931,3.364011878112369,0.7302166653750056,1.2378624433212635,0.0009207639489193909
932,3.3693162490974413,0.7402613504264295,1.2313598649651587,0.0006907168337538887
991,3.3576585551386344,0.890020061366372,1.1697052210620158,0.0006373829037540295
1241,3.340959141892865,0.4262922452728317,1.369773588967668,0.00015692043450860654
1281,3.349987743912463,0.5975432335823816,1.2946164256754238,0.00034064518936465383
1294,3.371545799985198,0.7121445368499778,1.243971151318228,0.0007072205799287867
1491,3.3613039852718343,0.8660093404902198,1.1794680175465473,0.0009355989777142879
1492,3.367824907813131,0.8944476551752799,1.167134783952111,0.00014410166905340813
1681,3.3739556585036934,0.7035738680850241,1.2470597463854836,0.0008815061694991077
1767,2.1792640907912797,-0.0373430231685542,1.6287030487968073,0.001157770505498531
1798,2.191260442654938,-0.0170744181132469,1.6142036994250335,0.004257525351169688
1828,2.215823068981203,0.0209797218669074,1.602739879242425,0.0015608613069781343
1869,2.1928338606920037,0.095884552791382,1.5701604556794364,0.00010845131500514771
1927,2.195240180701618,0.1700548008675076,1.5371053686706455,0.0014387247558535613
1967,2.1805252488661475,0.2378397102421031,1.512426823469294,0.0019555043349372284
2034,2.1593176684855524,0.2917350047651238,1.4875009276793676,0.0015524701887870203
2170,2.1804084973334827,0.4434129883422349,1.420513287367546,0.00236372914725923
2171,2.1804084973334827,0.4434129883422349,1.420513287367546,0.00236372914725923
2258,2.182590674861142,0.5341117890417064,1.3813998620841093,0.0022859851102050043
2259,2.182590674861142,0.5341117890417064,1.3813998620841093,0.0022859851102050043
2352,2.201976658942558,0.6221114912254333,1.3473085805572886,0.0021559937256308845
2426,3.3541567062151434,0.6379234709916437,1.2779904680874823,0.0009651716802321818
2467,2.2254277654668626,0.6993986887696271,1.3104561394522916,0.001055054064217757
2507,2.2333608435122927,0.7046200718743909,1.3091661769245164,0.0005940946822133475
2509,2.215502652788243,0.7277850390065294,1.297532620598994,0.00201256219526614
2759,2.2058213212440516,0.8876571015604591,1.2350277574777393,0.004304250530523685
2760,2.2160858386921007,0.8848585567087828,1.230369298145049,0.0006783967285578044
2761,2.2153758987477143,0.8859438423267311,1.2348298246277367,0.004034980785265151
2762,2.210878639645355,0.8939516478947774,1.225144807226047,0.002390447615176098
2828,2.205962337996537,0.923029867753214,1.213790818467319,0.0014987405953123783
3030,2.181694885340081,1.028717078615458,1.1683748597927566,0.004968864700885478
3223,2.243557174149289,1.1461301970881437,1.1114025125081262,0.005695779605430556
3356,2.1903984926582214,-0.1702504339166661,1.6786311101677822,0.005837035363168222
3461,2.209389170970961,-0.0259644250428413,1.6258473359563426,0.004483322583251257
3490,2.206267765528339,0.0340969352589752,1.594610251800602,0.0013651708331764662
3525,2.1994251363472164,0.0653927102078487,1.5824934111343634,0.0004648129581938055
3528,2.186130810312422,0.1035383381185401,1.5675778304636687,0.0002331762659670523
3670,2.158286886244586,0.31503140088021,1.4783512594162178,0.00011452496997732377
3776,2.1624572085604465,0.479243750920245,1.410507231715586,0.002568387050726742
3810,2.170952019724851,0.5238306268303584,1.3870760935400812,0.001733910742048228
3979,2.213035662295037,0.7167868615735411,1.3058837314919802,0.0014900117461498744
4005,2.2035647465640187,0.7449670039262816,1.2915623502496796,0.0010398343019563192
4135,2.207106665450075,0.913215255031922,1.2191953533855835,0.00029776625951629103
4275,2.195630188765311,1.0548116583034195,1.158240974613136,0.0011595506316732223
4437,2.183601279679702,-0.1242779758907937,1.6644457061056923,0.00014963584187305444
4638,2.170868709455279,0.4518250322041587,1.4176350704422345,0.002137237972364456
4929,2.224676734990508,1.1645576159387507,1.1123964756803606,0.002508769663058021
4930,2.224676734990508,1.1645576159387507,1.1123964756803606,0.002508769663058021
4931,2.2329130096069063,1.1818261994124766,1.10289573015014,0.001022956833130915
5210,2.2063184585202498,1.0729375657753546,1.1508842373451087,0.00023092690999125458
5234,2.2445999919234683,1.1725723919741935,1.1068406548712026,0.0019942219696009126
5235,2.2452226273357674,1.170805283478471,1.1036119780374776,0.002453625012842007
5252,2.232345271491985,1.2227029943160077,1.082423618894976,0.002037744416958836
5253,2.232069595507079,1.2245361057710122,1.0858080928801197,0.002366100839516828
5437,2.1847731300807793,0.0034064880875683,1.614845527557608,0.00483651068839242
5488,2.189665067677872,0.6056782538824329,1.3534183174589636,0.00048495783746272064
5582,2.2032921517460933,0.8302884853655345,1.2578815825375405,0.001717922878779417
5728,3.361607607260072,0.0043564766642777,1.5475597129519374,0.0010523317532616504
5777,2.1643718852363425,0.2667079157148441,1.500975364786728,0.0015993487290492353
5871,2.209051550909602,0.666253339530355,1.3262989469149102,0.00026565385024335334
5879,2.21876775156903,0.7080173537313218,1.3082706878664243,0.0003716638164496422
6293,3.3681681755613977,0.7968930149523081,1.2064162525073407,0.002205331856095644
6363,2.18360880931381,0.567648436589744,1.3789479846448742,0.00935196296537582
6508,2.2069754703726705,0.7854502834963614,1.2720598813756756,0.0027530182856067772
6824,3.350794594916509,0.5447392542462449,1.3179211187348814,0.0009105826698365469
7554,3.3820590235491355,0.1326744227145764,1.4908057388190272,0.0013726767084199947
7555,3.3820590235491355,0.1326744227145764,1.4908057388190272,0.0013726767084199947
7985,3.378670019078348,0.0512604845685111,1.5285588932734662,0.0018573153371743403
8460,3.3954158223958983,0.1305726262307612,1.4937951606509274,0.0007627181733471899
8666,1.0491451048291995,1.1684165540000548,1.172531807455721,0.00025254354178011907
8738,1.0397494946955417,1.131746470689913,1.1931685118027613,0.001886805537819245
8774,0.9875099747746788,1.5301887975171022,1.0311968141724006,0.0006692008578760722
8775,0.9875099747746788,1.5301887975171022,1.0311968141724006,0.0006692008578760722
8844,0.9598597776070086,1.581650724678829,1.0164364989892267,0.00029961381430546443
8845,0.9598597776070086,1.581650724678829,1.0164364989892267,0.00029961381430546443
8869,1.030442095162034,1.284400656783621,1.1313205804235498,0.004268400312771495
8955,1.088951196527583,-0.1294713333414215,1.7156758057629524,0.0002641660567776021
8975,1.1254835498161988,-0.0289252511902027,1.6721247156067909,0.0011195801969018466
8993,1.0675563573158713,-0.022611525985657,1.6717413388535998,0.0011628896273363902
8994,1.070968405268197,0.00498364653346,1.660695012142132,0.0018437274679474647
9010,1.0872031994588824,0.0394107080810618,1.6507395287570463,0.006345529661745136
9127,1.0867359675070416,0.3535335872365395,1.5131916381607855,0.0009783851052980804
9128,1.0881327993720238,0.3631269512566525,1.508200212311145,0.00020701773179873805
9129,1.0881327993720238,0.3631269512566525,1.508200212311145,0.00020701773179873805
9152,1.0716391678665949,0.4155975788629323,1.484686852064328,0.0028245797791635325
9400,1.095795372298067,0.0323662560909681,1.6488341782127605,0.0015566219714387428
9456,1.0843615463449594,0.3790280173544206,1.4992553144544851,0.002178514242907194
9584,1.0519433649387953,0.7300849967548851,1.3574606147456716,0.00042450755855491626
9652,1.0518963624840287,0.8985185804922285,1.2904714979461511,0.002477070273896817
9702,1.0331562531794007,1.0318176572620654,1.235503866615984,6.791935069710127e-05
9804,1.1259561119685664,-0.0926621056599745,1.6975595460901318,0.0031034166571141373
9976,1.054043666193363,0.9340735638631062,1.2758302852511347,0.003638185576100543
9992,1.0346436764146116,1.0052409488639134,1.2490455979160804,0.001598294692079168
9993,1.0346436764146116,1.0052409488639134,1.2490455979160804,0.001598294692079168
10159,1.025838706237354,1.21744199111769,1.1542887064632628,0.0031068056094090387
10203,1.054903853190189,0.6877385619986196,1.373559532298282,0.0015503830272349133
10254,1.070466009175871,0.5932795885257718,1.4124130308513076,0.0004293736580040072
